cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	smiles	Substrate	strlen	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
0	-1.1706720686162908	0.7948504280997339	0.432729813693624	0.8116900450350141	0.2602270310231137	-0.40477958727901514	-0.62610536293137	0.17723030018039362	0.563516098514371	0.2845414187560573	-0.1573477485974435	-0.511895461490025	47.92381286621094	C	Methane	1	8	0	-0.07755789119307553	0.019389472798268883	0.019389472798268883	0.07755789119307553	16.042999999999996	0	0	0	19.11941547876375	0.0	14.359133028500802	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	1.0	0.32835707036448053	0.001084628950741675	0.3046680719654757	0.944553669381288	0.9716956482962519	0.9419933994922703	0.5539784521884121	0.6361	6.731	1	28.802	0	60.04468719372876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.891	0.089	0.997
1	-1.17088755668461	0.7945285453321366	0.4324357688589619	0.810968415233774	0.26053914691060626	-0.4054568427249976	-0.6251964235771357	0.1754049966721544	0.5626122558491515	0.28540189107584096	-0.15853300023476596	-0.512937346780926	41.79082489013672	N	NH3	1	8	1	-0.3439257361077735	0.1146419120359245	0.1146419120359245	0.3439257361077735	17.031	1	1	0	8.0	-0.04	11.893309521068788	0	0	0	0	1	3	0	35.0	0	0	0	0	0	0	0	0	0	0.0	0.8201590069946035	0.1395344074743063	0.3631792982063236	0.5721356510877694	0.6143887577513222	0.08281420068935953	0.4356660066983876	0.16199999999999998	5.0221	1	23.357	0	50.03185383580013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.509	0.152	0.994
10	-0.9797545962642886	0.6920305839570968	0.839879290134512	0.6066289982938501	0.05215898977003667	0.03207940633862494	-0.47400921793849243	-0.44176956204955004	0.2349924249822194	-0.5246708631899555	-0.07638097883850145	-0.25674123168513613	82.7188720703125	CCO	Alcohol	3	20	1	-0.3966637147812598	0.21002230656786322	0.21002230656786322	0.3966637147812598	46.06900000000002	1	1	2	93.72120767599533	-0.04	28.41492015355628	0	0	0	0	1	1	0	20.23	0	0	0	0	0	0	0	0	0	1.0	0.9611344832433172	0.38771025642570955	0.053259244571649586	0.27608061344578616	0.8583946122464308	0.49175246145102297	1.1629316855206988	-0.0014000000000000123	12.759800000000002	3	54.089	0	96.53728254883411	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	56.079	1.990	0.965
11	-0.9797545962642886	0.6920305839570968	0.839879290134512	0.6066289982938501	0.05215898977003667	0.03207940633862494	-0.47400921793849243	-0.44176956204955004	0.2349924249822194	-0.5246708631899555	-0.07638097883850145	-0.25674123168513613	82.622314453125	CCO	Alcohol	3	20	1	-0.3966637147812598	0.21002230656786322	0.21002230656786322	0.3966637147812598	46.06900000000002	1	1	2	93.72120767599533	-0.04	28.41492015355628	0	0	0	0	1	1	0	20.23	0	0	0	0	0	0	0	0	0	1.0	0.9611344832433172	0.38771025642570955	0.053259244571649586	0.27608061344578616	0.8583946122464308	0.49175246145102297	1.1629316855206988	-0.0014000000000000123	12.759800000000002	3	53.890	0	96.53728254883411	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	55.779	1.889	0.966
15	-0.9727048405695617	0.6550459687569088	0.923646301711712	0.7426028534699354	0.012695444127328596	0.1808235692567412	-0.3865356499597701	-0.6692537006149446	0.34630293432100523	-0.6279680165872943	-0.10519270792665121	-0.1540151076769869	99.63641357421875	CC=O	Acetaldehyde	4	18	1	-0.30371526986366926	0.1164052831422626	0.1164052831422626	0.30371526986366926	44.05300000000001	1	0	1	82.18080946738405	-0.33	24.885597242941174	0	0	0	0	1	0	0	17.07	0	0	0	0	0	0	0	0	0	0.5	0.9840656142690731	0.5590525699626785	0.09386184019956645	0.17780569960839734	0.8872507719660706	0.3840159656168834	1.116269466081924	0.2052	11.738000000000001	3	70.635	0	82.68383207032309	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.728	3.092	0.958
16	-0.8101148637650194	0.6481665804908701	0.6820132908901194	0.753001410573303	0.055168819644913616	0.0681714396392767	-0.16679076345306557	-0.4683841446986176	0.0594332017364919	-0.25108521958324376	-0.35100972329906044	-0.34011796541378986	93.00474548339844	CCCN	Propylamine	4	26	1	-0.3304839223850739	0.11837894330490921	0.11837894330490921	0.3304839223850739	59.11200000000002	1	1	3	179.7890605730709	-0.04	39.56987371962248	0	0	0	0	1	2	0	26.02	0	0	0	0	0	0	0	0	0	1.0	0.9894123382734097	0.6288017894707817	0.04635892695883077	0.14513175004920142	0.9443909179080299	0.39160205165418804	1.5750658527952208	0.3551000000000001	19.345400000000005	4	62.821	0	131.67748263213494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.335	2.514	0.962
41	-0.968474007434131	0.5335680377546113	1.0413128528015412	0.8947308901045643	-0.08572815985761513	0.43332168514489794	-0.2670069544081209	-1.1899267420699986	0.5732370838668578	-0.6911905907840704	-0.20492468262929284	-0.012717403628707968	142.81297302246094	CCCC=O	Butanal	6	30	1	-0.3034030972577946	0.11947978113414225	0.11947978113414225	0.3034030972577946	72.10699999999996	1	0	3	214.67414136612274	-0.33	43.235363472405666	0	0	0	0	1	0	0	17.07	0	0	0	0	0	0	0	0	0	0.75	0.9768422279605224	0.49336234471372326	0.021968025017659293	0.21396088818548764	0.9228651731942659	0.42976496204565173	1.7056397147510745	0.9854	20.971999999999994	5	104.080	0	134.36350866079482	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.445	6.365	0.942
42	-0.971649142177245	0.3273378066304571	0.7649656402045326	1.2717725354243123	-0.13863946656418355	0.4380737123398933	-0.28527791090994997	-1.0530033020535468	0.8169518757611876	-0.2580212299816945	-0.33619470255640954	-0.3558059843531502	127.19327545166016	CCCCCN	Amylamine	6	38	1	-0.3304735053776849	0.11837913476246212	0.11837913476246212	0.3304735053776849	87.16599999999994	1	1	5	326.4155028184881	-0.04	57.91963994908697	0	0	0	0	1	2	0	26.02	0	0	0	0	0	0	0	0	0	1.0	0.8973210836342154	0.19203420888222594	0.007275918008620308	0.44137837833939875	0.7875702347970177	0.4961091117586408	1.7707477285118705	1.1353	28.57939999999999	6	92.894	0	180.06919401848535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.531	5.637	0.943
43	-1.1652679941415456	0.6711015034340694	0.3454953844916306	0.9486404704183314	-0.04102690617423147	-0.17781035042371232	-0.52406326292906	0.031164866755107302	0.41417565539685275	0.083985784818789	-0.23829919287741408	-0.7245556824580983	106.22005462646484	CCCCCO	1-Pentanol	6	38	1	-0.39637657079600636	0.2100365348380643	0.2100365348380643	0.39637657079600636	88.14999999999993	1	1	5	302.0798557825303	-0.04	55.93956949775302	0	0	0	0	1	1	0	20.23	0	0	0	0	0	0	0	0	0	1.0	0.9929751855150487	0.6879865714634227	0.02076677705575328	0.11832278289219918	0.950337108548006	0.2994774229392237	2.1302888626051457	1.1689	26.61079999999999	6	74.270	0	171.731175691794	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	77.628	3.359	0.957
100	-1.001672656469424	0.8490945171142114	0.8926215317668907	0.565445456881933	0.3795052618666541	-0.21725020191648683	-0.637240772979263	-0.05073910487106962	0.23881822067308137	-0.4365218415787881	-0.03215528573694474	-0.28290560241899104	128.48797607421875	CC(=O)CO	Hydroxyacetone	8	30	2	-0.3886043602174644	0.21067483657776903	0.21067483657776903	0.3886043602174644	74.07899999999997	2	1	3	159.70055580504916	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9333601325755024	0.29312993856699576	0.011576627918594864	0.35894130845953154	0.6924421165661472	0.3273794328770262	1.5189722749613375	-0.43229999999999996	17.7668	5	90.471	0	119.2653455273321	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	94.323	3.851	0.959
